Title,Director Last Name,Director First Name,Year,Rating
Casino Royale,Campbell,Martin,2006,4
Skyfall,Mendes,Sam,2012,3.9
Goldfinger,Hamilton,Guy,1964,3.85
No Time to Die,Fukunaga,Cary,2021,3.65
From Russia with Love,Young,Terence,1963,3.65
Dr. No,Young,Terence,1962,3.6
GoldenEye,Campbell,Martin,1995,3.6
The Spy Who Loved Me,Gilbert,Lewis,1977,3.5
Thunderball,Young,Terence,1965,3.45
Spectre,Mendes,Sam,2015,3.4
You Only Live Twice,Gilbert,Lewis,1967,3.4
The Man with the Golden Gun,Hamilton,Guy,1974,3.35
Live and Let Die,Hamilton,Guy,1973,3.35
The Living Daylights,Glen,John,1987,3.35
On Her Majesty's Secret Service,Hunt,Peter,1969,3.35
For Your Eyes Only,Glen,John,1981,3.35
Quantum of Solace,Forster,Marc,2008,3.3
Licence to Kill,Glen,John,1989,3.3
Tomorrow Never Dies,Spottiswoode,Roger,1997,3.25
Octopussy,Glen,John,1983,3.25
Diamonds Are Forever,Hamilton,Guy,1971,3.25
The World Is Not Enough,Apted,Michael,1999,3.2
A View to a Kill,Glen,John,1985,3.15
Moonraker,Gilbert,Lewis,1979,3.1
Die Another Day,Tamahori,Lee,2002,3.05
