employee_id,date_of_birth,hire_date,employment_status,department,role,city,state,region,base_salary_usd,product_line,quota_usd,sales_ytd_usd
1005169,7/2/1998,12/14/2023,Active,Sales,Operations Coordinator,Denver,CO,Midwest,64672,Professional Services,661765,426216
1011618,7/11/1997,4/18/2020,Active,Customer Success,Marketing Specialist,Seattle,WA,South,59991,Hardware,242828,132235
1017833,2/8/1995,1/29/2026,Terminated,Marketing,Marketing Specialist,Boston,MA,South,81314,SaaS,764911,747630
1023731,9/2/2001,2/16/2018,Active,Finance,Sales Representative,Seattle,WA,Midwest,88066,Hardware,504400,516042
1036509,1/13/2000,7/16/2020,Active,Finance,Sales Representative,Miami,FL,West,80268,Support Plans,775298,1102099
1037860,9/7/1974,4/13/2022,Terminated,Operations,Account Executive,Houston,TX,Midwest,85343,Hardware,514620,570186
1050001,11/25/1996,4/9/2024,Active,Customer Success,Sales Representative,Los Angeles,CA,Northeast,64411,Subscriptions,218463,215388
1051085,6/16/1974,1/18/2025,Active,Marketing,Operations Coordinator,Phoenix,AZ,West,83471,SaaS,905360,942454
1068714,1/25/1964,5/15/2017,OnLeave,Sales Ops,Financial Analyst,Dallas,TX,West,58908,Subscriptions,720329,687637
1078664,11/13/1997,2/3/2016,OnLeave,Operations,Operations Coordinator,Seattle,WA,South,52079,Subscriptions,1182998,469812
1089569,7/23/1992,7/5/2025,Active,Marketing,Sales Operations Analyst,Philadelphia,PA,South,68866,SaaS,1062751,1467059
1105120,12/25/1996,1/20/2018,Active,IT,Operations Coordinator,Philadelphia,PA,Northeast,51702,Subscriptions,528544,620556
1110135,6/4/1972,7/27/2025,Active,Sales,Marketing Specialist,New York,NY,Northeast,76262,Subscriptions,244632,91360
1110379,8/23/1996,8/11/2019,Active,Sales,HR Generalist,Phoenix,AZ,West,70959,Hardware,917195,1329944
1127248,3/26/1977,4/21/2016,Active,Customer Success,Sales Operations Analyst,Boston,MA,Midwest,82539,Professional Services,1042359,680409
1143248,4/28/1989,6/15/2020,Terminated,Operations,Account Executive,Seattle,WA,Midwest,88403,SaaS,533286,464682
1146845,6/15/1995,9/8/2021,Active,Finance,Sales Manager,Los Angeles,CA,Midwest,140475,SaaS,376152,145896
1172718,9/20/2002,7/10/2021,Terminated,Sales Ops,Customer Success Manager,Seattle,WA,Northeast,135331,Subscriptions,359864,288866
1197626,3/13/1967,10/15/2024,Active,Finance,Sales Manager,New York,NY,West,150526,Hardware,600526,128010
1197952,6/10/1999,7/20/2025,OnLeave,Sales,Customer Success Manager,Atlanta,GA,South,135529,Professional Services,1038079,1439457
1209089,2/26/1986,5/25/2020,OnLeave,Sales,Account Executive,Chicago,IL,Northeast,77960,Professional Services,1082945,1391101
1220897,12/15/1975,12/20/2022,Active,Sales,Financial Analyst,San Jose,CA,Northeast,48537,Subscriptions,920164,1026431
1241236,8/14/2008,5/19/2023,Active,Sales Ops,IT Support Specialist,Miami,FL,West,55449,Professional Services,490605,609755
1243512,6/5/1994,11/25/2016,Active,Finance,Marketing Specialist,Philadelphia,PA,West,92479,Hardware,1141322,1609358
1246505,11/5/1996,8/17/2022,Active,HR,Sales Manager,Miami,FL,West,149875,Professional Services,347772,539911
1267695,4/24/1990,7/24/2020,Active,Operations,Sales Operations Analyst,Atlanta,GA,South,92145,Subscriptions,276804,398331
1272746,11/8/1975,4/25/2017,Active,Sales,Account Executive,San Jose,CA,Midwest,85067,Support Plans,1031746,1435382
1278745,11/11/1990,2/28/2023,Active,HR,IT Support Specialist,Denver,CO,South,89277,Professional Services,1022262,291031
1282711,9/21/2000,9/14/2023,OnLeave,Sales,Sales Representative,New York,NY,West,88857,Professional Services,1144823,1523120
1298317,7/10/1991,5/24/2018,Active,Sales,Financial Analyst,Dallas,TX,Northeast,51431,Hardware,942202,1132121
1299968,4/18/2005,2/3/2023,Active,Finance,Account Executive,Dallas,TX,Northeast,55006,Hardware,1117947,432038
1317100,7/14/1994,11/13/2024,OnLeave,IT,Marketing Specialist,Denver,CO,Midwest,86712,Professional Services,778577,581793
1340644,4/3/1978,7/17/2024,Active,Operations,IT Support Specialist,Philadelphia,PA,South,87123,Support Plans,629048,555079
1346932,1/13/2007,4/23/2022,Active,HR,Sales Operations Analyst,San Jose,CA,Northeast,96803,Professional Services,241218,347744
1352813,3/15/1998,2/7/2016,Active,IT,Operations Coordinator,New York,NY,Midwest,55712,Support Plans,416026,609823
1353673,7/11/1969,1/31/2025,OnLeave,Customer Success,Customer Success Manager,Los Angeles,CA,West,115578,SaaS,410177,597949
1356081,3/18/1983,6/9/2016,Active,HR,Customer Success Manager,San Diego,CA,Northeast,94714,Support Plans,1035523,1020909
1356090,6/28/1984,4/10/2016,Active,Operations,Customer Success Manager,New York,NY,Northeast,137376,Professional Services,1047383,706781
1369667,1/15/1987,3/28/2017,Active,Sales Ops,Account Executive,Philadelphia,PA,Midwest,78771,SaaS,802230,665457
1370713,11/2/1969,10/3/2018,Active,IT,Senior Account Executive,San Antonio,TX,Northeast,116270,Subscriptions,188830,152024
1372866,1/28/1991,8/8/2016,Active,Customer Success,HR Generalist,Seattle,WA,Midwest,63862,Hardware,944874,480959
1373457,11/15/1978,7/25/2025,Active,Sales,Financial Analyst,Atlanta,GA,South,83144,Support Plans,1123412,286959
1376988,10/8/1982,8/20/2017,Active,IT,Account Executive,Miami,FL,Midwest,77202,Subscriptions,182513,283337
1387622,1/23/1961,7/26/2018,Active,Sales Ops,Account Executive,Boston,MA,Northeast,86542,Professional Services,851761,1293260
1396593,12/26/1990,2/1/2020,Active,IT,Sales Representative,Miami,FL,Northeast,112479,Subscriptions,454356,262848
1400187,10/6/1967,3/27/2023,OnLeave,IT,Account Executive,Boston,MA,South,61468,Subscriptions,1144885,1318214
1417581,9/14/2004,7/24/2017,Active,Finance,Financial Analyst,San Jose,CA,South,68653,Hardware,1161194,370069
1419267,1/13/1984,11/10/2018,Active,Sales,IT Support Specialist,Chicago,IL,Northeast,60227,Subscriptions,231680,139345
1442997,9/28/2007,8/25/2017,Active,Customer Success,Financial Analyst,Los Angeles,CA,Midwest,62634,Professional Services,513998,332427
1447175,9/6/1967,9/2/2023,Active,Operations,Sales Representative,San Diego,CA,Midwest,91895,Professional Services,846650,1111709
1453298,5/7/1991,4/21/2021,Terminated,Sales Ops,Sales Operations Analyst,Los Angeles,CA,Northeast,58765,Professional Services,832728,392562
1454017,5/18/2005,2/17/2023,OnLeave,Finance,Operations Coordinator,Chicago,IL,South,50801,Professional Services,963946,1255908
1455114,10/14/1983,11/10/2022,Active,HR,Customer Success Manager,Dallas,TX,Northeast,92725,Hardware,857480,1058656
1459128,3/3/1988,9/30/2018,Active,Operations,Marketing Specialist,Denver,CO,Northeast,86654,Professional Services,575231,856342
1464482,11/30/1972,1/2/2023,OnLeave,IT,HR Generalist,Houston,TX,West,46904,Professional Services,1031393,295224
1474804,9/17/1987,5/21/2019,Active,Finance,Sales Manager,Phoenix,AZ,South,118552,Support Plans,909076,656693
1487563,1/25/1999,12/2/2025,Active,HR,Sales Operations Analyst,San Antonio,TX,West,79400,Support Plans,182376,39487
1508667,6/14/1973,8/10/2017,Active,Sales,IT Support Specialist,Los Angeles,CA,West,64534,Hardware,571036,706961
1534467,4/6/1978,9/25/2024,Active,Operations,Financial Analyst,Dallas,TX,West,46358,Hardware,1121553,1364145
1541221,7/26/1988,3/28/2019,Active,Operations,Marketing Specialist,Philadelphia,PA,South,60727,SaaS,968987,270640
1544166,9/13/1965,3/2/2016,OnLeave,Marketing,Sales Manager,Seattle,WA,South,104439,Professional Services,544109,629414
1545084,10/13/1975,10/8/2023,Active,HR,Customer Success Manager,New York,NY,Midwest,129020,Professional Services,360160,222804
1551449,11/25/1991,1/17/2026,Active,Operations,Senior Account Executive,Boston,MA,South,156099,Support Plans,544724,309526
1559227,3/2/1975,9/20/2016,Terminated,Marketing,Financial Analyst,Denver,CO,South,90191,Hardware,1180468,792447
1561403,3/10/2002,11/25/2019,Active,Customer Success,Sales Operations Analyst,Miami,FL,West,97934,Subscriptions,671489,653945
1584994,2/5/1969,8/26/2017,Active,HR,Sales Manager,San Diego,CA,South,149774,Professional Services,1106020,1246445
1590503,11/11/1964,6/4/2020,Terminated,Sales Ops,Sales Operations Analyst,San Jose,CA,Midwest,106411,Subscriptions,766721,253537
1596886,9/4/1978,1/20/2024,OnLeave,Marketing,Sales Operations Analyst,Dallas,TX,Northeast,121509,Subscriptions,631675,341057
1600289,4/22/1985,2/28/2016,Terminated,Sales,Account Executive,Atlanta,GA,Midwest,104195,SaaS,1106281,1050872
1600701,5/12/2003,12/29/2021,Active,HR,Sales Representative,San Antonio,TX,West,123268,Professional Services,998772,1212240
1611845,4/14/1973,9/20/2016,OnLeave,Customer Success,Marketing Specialist,Atlanta,GA,South,46434,Hardware,916045,184353
1613413,1/6/1994,1/2/2022,Active,Marketing,Sales Operations Analyst,Philadelphia,PA,West,75754,SaaS,492785,372954
1625115,10/20/1970,5/22/2024,OnLeave,Customer Success,Sales Manager,Denver,CO,Northeast,147411,Subscriptions,516492,111728
1628477,2/14/1972,4/8/2024,OnLeave,Finance,IT Support Specialist,Houston,TX,South,67298,Professional Services,1151486,777724
1628960,3/27/1997,9/27/2023,Active,Sales Ops,Sales Representative,Seattle,WA,Northeast,78099,SaaS,713536,853744
1640915,5/27/1967,4/12/2025,Active,Operations,Marketing Specialist,Los Angeles,CA,Midwest,84600,Support Plans,829709,476289
1643675,5/29/2008,10/16/2021,Active,Sales,Operations Coordinator,Los Angeles,CA,South,48198,Professional Services,585890,155384
1654203,3/16/1974,10/4/2024,Active,Sales,Sales Operations Analyst,Houston,TX,Northeast,67259,Subscriptions,730001,961833
1697010,4/2/1968,11/17/2017,Active,IT,Sales Manager,Denver,CO,West,118595,SaaS,370599,563383
1702866,9/26/1967,9/15/2019,Active,Customer Success,Account Executive,Houston,TX,Northeast,80956,SaaS,228609,79991
1721413,8/3/2004,4/12/2021,OnLeave,Customer Success,Account Executive,San Jose,CA,Northeast,116040,Support Plans,403315,234814
1724491,1/11/1963,1/27/2025,Active,HR,Operations Coordinator,San Jose,CA,South,82208,Hardware,1048479,738758
1743852,7/21/1979,1/27/2024,Active,Customer Success,Sales Representative,Los Angeles,CA,Midwest,76512,Hardware,808992,491340
1752597,2/10/1964,7/4/2023,OnLeave,Sales,Operations Coordinator,Atlanta,GA,West,82378,Subscriptions,722246,351728
1764434,12/1/1996,12/31/2025,OnLeave,Sales,Sales Manager,Chicago,IL,West,120150,Subscriptions,498097,151221
1775211,10/27/1994,6/12/2019,Active,Finance,Marketing Specialist,San Jose,CA,Midwest,66996,Subscriptions,1184950,589397
1798483,6/6/2001,3/6/2023,Active,HR,Sales Manager,Philadelphia,PA,Northeast,190673,Subscriptions,795587,560666
1806578,9/9/1993,5/31/2019,Active,HR,Operations Coordinator,Los Angeles,CA,Midwest,65971,Hardware,472129,692197
1809503,1/25/1975,6/17/2021,Active,Sales,Sales Manager,New York,NY,Midwest,167391,Professional Services,1013716,1251204
1829112,6/20/1967,1/17/2019,Active,Marketing,HR Generalist,Boston,MA,South,65258,Professional Services,749119,1036234
1854139,4/29/2003,2/16/2020,Active,Marketing,Sales Operations Analyst,Los Angeles,CA,South,81382,Support Plans,175205,204037
1875569,1/30/1973,7/1/2023,Active,Operations,Financial Analyst,San Antonio,TX,Midwest,45069,Subscriptions,706651,1098299
1876050,1/19/1978,4/1/2024,Active,HR,Sales Manager,Seattle,WA,South,171613,SaaS,595272,881911
1890989,5/22/1986,4/27/2017,Active,Operations,Financial Analyst,Boston,MA,Northeast,50096,Hardware,1196977,977360
1893002,12/9/1998,7/29/2016,Active,Sales Ops,IT Support Specialist,Philadelphia,PA,Northeast,78522,SaaS,1084352,585908
1898103,10/2/1991,7/30/2025,Active,Sales Ops,Customer Success Manager,Boston,MA,South,91933,Subscriptions,429191,605401
1907137,8/24/1987,8/25/2020,OnLeave,Customer Success,Financial Analyst,Boston,MA,West,72143,Professional Services,218553,321254
1907149,2/6/1994,4/10/2021,Active,Customer Success,Financial Analyst,San Jose,CA,Northeast,61787,Support Plans,1076618,221761
1917862,12/31/1997,12/9/2024,Active,Customer Success,Sales Manager,Phoenix,AZ,Midwest,156445,Hardware,1110892,248914
1917956,10/23/1967,4/21/2025,Terminated,Sales Ops,Sales Representative,San Antonio,TX,South,83040,SaaS,150623,85435
1918224,4/3/2005,6/5/2023,Active,Customer Success,Sales Operations Analyst,Philadelphia,PA,South,98815,Support Plans,347381,373564
1926251,5/19/1987,10/14/2022,Active,Finance,Sales Operations Analyst,Houston,TX,South,69235,Professional Services,161694,76544
1932166,1/13/1980,3/24/2016,Terminated,Sales Ops,Customer Success Manager,Seattle,WA,Northeast,117613,Subscriptions,888380,955134
1935189,10/23/2002,6/2/2024,Active,Operations,Marketing Specialist,Dallas,TX,South,48441,Professional Services,1134935,352259
1947674,3/4/1972,2/19/2024,Terminated,HR,Sales Manager,Phoenix,AZ,Northeast,120900,Subscriptions,260496,405854
1960878,9/28/1974,7/24/2016,OnLeave,Finance,Sales Manager,Miami,FL,Northeast,126650,SaaS,1090222,1249046
1960911,12/2/1962,9/2/2016,Active,Finance,Senior Account Executive,Philadelphia,PA,Midwest,92909,Support Plans,252064,334028
1962003,2/24/1978,9/24/2023,Terminated,Sales,Senior Account Executive,San Diego,CA,Midwest,117778,SaaS,669566,970353
1971335,11/5/1984,8/5/2021,Active,Operations,Sales Representative,Chicago,IL,Midwest,78653,Support Plans,847590,1037100
1972797,12/17/1974,8/8/2020,Terminated,Sales,Financial Analyst,Houston,TX,West,86031,Hardware,781397,681648
1973289,12/18/1961,4/29/2017,Active,Marketing,Senior Account Executive,New York,NY,Midwest,122341,Professional Services,1063949,594196
1973629,2/20/2008,2/24/2021,Terminated,Customer Success,Sales Manager,Dallas,TX,Midwest,132689,Subscriptions,489095,465961
2053932,10/29/2008,6/18/2025,Active,Operations,Sales Manager,Chicago,IL,Midwest,105901,Professional Services,759478,943835
2064032,7/3/1995,9/11/2021,Terminated,IT,Customer Success Manager,New York,NY,West,98568,Professional Services,817282,1055017
